Date of joining,Gender,Company Type,WFH Setup Available,Level,Resource Allocation,Mental Fatigue Score,Burn Rate
9/10/2008,Female,Service,No,2,4,4.4,0.28
25/04/2008,Female,Service,Yes,2,4,5.9,0.44
25/08/2008,Female,Service,No,3,8,9.4,1
1/1/2008,Male,Service,No,3,7,8.2,0.74
24/11/2008,Female,Product,Yes,0,1,2.6,0.08
26/02/2008,Male,Service,Yes,2,5,6.3,0.53
31/12/2008,Female,Service,Yes,0,2,4.8,0.26
24/01/2008,Female,Service,Yes,2,4,4.8,0.29
6/12/2008,Male,Product,No,5,9,9.6,0.82
1/6/2008,Male,Product,No,3,6,6.4,0.61
12/8/2008,Female,Product,Yes,2,4,4.9,0.45
2/7/2008,Female,Product,Yes,3,4,5.4,0.37
19/01/2008,Female,Service,Yes,1,2,4.1,0.36
12/3/2008,Male,Service,No,1,3,5.2,0.31
7/2/2008,Female,Service,Yes,2,4,5.6,0.48
2/11/2008,Female,Product,Yes,5,10,9.6,1
29/11/2008,Male,Product,No,4,7,9,0.86
30/12/2008,Male,Product,Yes,0,1,2.1,0.14
7/3/2008,Male,Product,No,3,6,8.3,0.67
25/03/2008,Male,Service,No,2,5,7,0.52
1/8/2008,Male,Service,No,2,4,5.9,0.38
3/4/2008,Female,Product,Yes,2,5,4,0.32
15/09/2008,Female,Service,No,3,6,4.9,0.41
13/08/2008,Female,Product,Yes,4,7,8.8,0.74
30/04/2008,Female,Service,Yes,3,4,4.7,0.31
3/4/2008,Female,Product,No,1,2,3.3,0.23
22/06/2008,Male,Product,Yes,2,6,8.4,0.7
9/5/2008,Female,Service,No,1,4,5.9,0.31
26/08/2008,Male,Product,No,4,7,5.6,0.53
14/01/2008,Male,Service,Yes,1,2,5.8,0.35
10/3/2008,Female,Product,No,2,6,8.5,0.71
4/12/2008,Male,Service,Yes,1,3,4.1,0.35
12/10/2008,Female,Service,No,2,5,5.8,0.54
15/05/2008,Male,Service,Yes,2,4,6.7,0.46
26/01/2008,Male,Service,No,4,7,7.6,0.6
18/10/2008,Male,Service,No,3,6,8.4,0.73
10/1/2008,Female,Product,Yes,2,4,5.7,0.4
12/11/2008,Male,Service,Yes,2,4,3.7,0.26
10/5/2008,Male,Product,Yes,1,2,3.4,0.14
25/03/2008,Male,Service,No,2,4,4.2,0.33
12/6/2008,Male,Product,Yes,3,7,9.3,0.87
8/3/2008,Male,Service,No,2,5,7,0.55
9/10/2008,Male,Product,No,2,5,6.9,0.58
11/8/2008,Male,Service,No,2,5,5.9,0.52
20/03/2008,Female,Service,Yes,1,3,6.2,0.5
4/1/2008,Male,Product,Yes,3,5,6.4,0.44
8/2/2008,Male,Product,No,1,2,3.6,0.31
2/4/2008,Female,Service,Yes,2,3,4.8,0.26
30/12/2008,Female,Service,Yes,2,3,4.7,0.23
16/07/2008,Female,Product,No,2,3,5.8,0.48
6/5/2008,Female,Service,Yes,1,3,4.5,0.4
30/10/2008,Male,Product,Yes,1,3,2,0.14
22/09/2008,Male,Product,Yes,3,6,6.3,0.57
19/02/2008,Female,Service,Yes,3,7,8.8,0.75
30/04/2008,Male,Product,Yes,2,4,5.9,0.35
12/9/2008,Female,Service,No,3,4,4.3,0.33
6/1/2008,Female,Service,No,3,6,6.8,0.62
9/7/2008,Female,Service,No,2,4,5.9,0.33
30/04/2008,Male,Service,No,3,5,5.9,0.4
14/05/2008,Male,Service,Yes,1,4,6.2,0.45
16/02/2008,Female,Service,No,2,4,4.1,0.26
24/08/2008,Female,Service,Yes,2,5,7.4,0.69
12/9/2008,Male,Service,No,4,7,6.6,0.63
26/08/2008,Female,Service,No,2,6,7.4,0.53
7/8/2008,Male,Service,No,3,5,6.4,0.61
26/11/2008,Female,Service,Yes,2,4,5.3,0.5
29/03/2008,Female,Service,Yes,2,4,5.7,0.43
10/12/2008,Male,Product,No,3,6,7.7,0.65
14/07/2008,Female,Service,No,2,5,5.6,0.45
1/4/2008,Male,Service,No,2,5,8.4,0.66
27/06/2008,Male,Service,Yes,4,6,6.5,0.5
13/03/2008,Male,Product,No,3,6,5.9,0.82
28/12/2008,Male,Product,No,4,7,8.1,0.66
1/8/2008,Female,Product,No,4,8,6.1,0.58
26/06/2008,Male,Service,No,1,3,2.4,0.18
9/1/2008,Male,Product,No,3,7,5.5,0.52
29/05/2008,Female,Product,No,3,7,6.3,0.52
30/01/2008,Male,Product,No,3,4,5.9,0.66
8/6/2008,Male,Product,Yes,2,3,4.9,0.43
20/12/2008,Female,Service,Yes,1,2,2,0.15
7/11/2008,Male,Service,No,2,6,7.5,0.73
21/11/2008,Female,Service,Yes,1,3,2.4,0.17
17/07/2008,Male,Product,Yes,1,3,4.2,0.3
6/4/2008,Female,Service,Yes,2,5,6.5,0.48
25/05/2008,Male,Product,Yes,4,7,8.2,0.67
18/02/2008,Female,Product,No,1,3,6,0.45
3/7/2008,Male,Service,No,4,8,6.6,0.56
16/03/2008,Female,Service,Yes,2,3,7.1,0.48
1/9/2008,Male,Service,Yes,3,5,4.6,0.4
16/10/2008,Male,Service,Yes,1,2,4.7,0.36
8/7/2008,Female,Service,Yes,3,6,6.5,0.55
27/05/2008,Female,Service,No,2,4,3.5,0.28
28/03/2008,Male,Service,Yes,3,5,8,0.6
14/01/2008,Male,Product,No,3,6,7.3,0.58
21/10/2008,Male,Service,Yes,2,5,7.1,0.53
22/01/2008,Male,Service,No,0,1,0.7,0.07
12/10/2008,Male,Service,No,3,6,7.8,0.8
26/06/2008,Female,Service,Yes,3,6,5.2,0.44
9/4/2008,Male,Service,No,2,5,7.4,0.56
20/09/2008,Female,Service,Yes,1,2,2.9,0.23
17/05/2008,Male,Service,No,2,5,5.5,0.41
2/12/2008,Female,Product,No,3,4,5.1,0.44
28/10/2008,Female,Service,Yes,2,4,4.9,0.29
21/06/2008,Male,Service,Yes,2,5,5.9,0.63
12/12/2008,Male,Product,No,3,4,6.5,0.47
5/7/2008,Female,Service,No,1,3,6.3,0.44
18/03/2008,Female,Product,Yes,0,1,0.3,0.01
26/01/2008,Male,Service,No,3,6,8.5,0.82
13/08/2008,Male,Service,Yes,3,7,6.9,0.53
2/7/2008,Male,Product,Yes,0,2,3.8,0.17
29/08/2008,Female,Service,Yes,4,6,7.8,0.59
5/6/2008,Female,Service,Yes,2,3,5,0.26
16/04/2008,Male,Service,No,4,7,6.9,0.57
9/4/2008,Female,Service,No,1,4,5.7,0.47
25/01/2008,Female,Service,Yes,3,7,6.2,0.55
26/08/2008,Female,Service,No,1,3,3.7,0.28
26/07/2008,Female,Product,Yes,1,3,6.5,0.5
24/03/2008,Female,Product,Yes,1,2,4.1,0.18
13/09/2008,Female,Product,Yes,1,2,5.9,0.48
6/2/2008,Male,Product,No,4,8,6.2,0.6
29/01/2008,Female,Product,Yes,2,3,5.9,0.39
7/10/2008,Female,Product,No,3,4,6.4,0.46
29/07/2008,Male,Service,Yes,2,5,5.4,0.31
18/07/2008,Male,Product,No,4,8,5.9,0.82
24/02/2008,Female,Service,Yes,2,3,3.4,0.24
3/4/2008,Female,Product,Yes,1,3,4.9,0.28
30/03/2008,Male,Service,Yes,2,4,5.9,0.42
3/8/2008,Female,Product,Yes,0,4,4.3,0.27
1/9/2008,Female,Product,Yes,0,1,2.6,0.1
6/4/2008,Female,Service,Yes,3,4,6.4,0.44
28/04/2008,Male,Service,Yes,3,6,5.9,0.5
20/01/2008,Female,Service,No,2,5,7.4,0.6
21/11/2008,Female,Product,Yes,1,2,4.6,0.32
23/01/2008,Male,Product,No,3,4,7.5,0.53
29/05/2008,Female,Service,No,2,4,6.6,0.43
14/03/2008,Male,Product,Yes,2,4,4.1,0.23
2/4/2008,Male,Product,No,3,5,6.8,0.63
3/6/2008,Female,Service,No,3,4,7.1,0.49
27/01/2008,Female,Service,Yes,3,5,5.8,0.41
11/11/2008,Male,Service,Yes,1,3,7,0.47
11/11/2008,Female,Product,Yes,1,2,3.8,0.25
30/01/2008,Male,Product,No,1,3,3.8,0.33
31/01/2008,Male,Service,Yes,1,1,0.5,0
30/04/2008,Male,Service,Yes,3,5,6,0.56
9/2/2008,Female,Product,Yes,3,5,5.5,0.5
3/1/2008,Male,Service,No,5,10,8.2,0.78
15/02/2008,Male,Service,Yes,1,2,4.2,0.28
24/01/2008,Female,Product,No,4,9,9.9,0.87
30/11/2008,Male,Service,No,1,2,5.1,0.33
29/02/2008,Female,Service,Yes,2,4,3.9,0.19
21/05/2008,Male,Product,No,4,6,5.9,0.58
16/04/2008,Male,Product,No,2,6,7.9,0.81
24/07/2008,Male,Product,No,2,6,6.3,0.54
11/8/2008,Male,Service,No,2,7,8.8,0.7
2/4/2008,Female,Product,No,2,4,6.4,0.42
25/04/2008,Female,Service,Yes,1,3,5.3,0.4
5/3/2008,Female,Service,Yes,2,4,3.6,0.15
11/5/2008,Male,Service,Yes,2,5,5.9,0.61
26/08/2008,Female,Product,Yes,3,5,5.1,0.35
3/7/2008,Male,Service,Yes,3,7,9.3,0.77
11/1/2008,Female,Service,Yes,3,4,4.3,0.24
26/12/2008,Male,Service,No,2,4,3.5,0.28
14/03/2008,Male,Service,Yes,2,4,4.3,0.22
7/11/2008,Male,Service,No,2,5,7.1,0.52
15/08/2008,Female,Service,No,4,4,7.4,0.54
13/11/2008,Male,Product,No,2,6,8,0.73
28/01/2008,Male,Product,No,4,7,5.9,0.6
3/11/2008,Male,Service,Yes,2,4,6.2,0.38
12/7/2008,Male,Service,Yes,2,4,4.3,0.38
4/5/2008,Female,Service,No,2,5,3.7,0.3
3/9/2008,Female,Product,No,3,7,7.6,0.6
16/04/2008,Male,Product,No,3,4,6.7,0.57
27/05/2008,Male,Product,Yes,1,3,6.4,0.44
10/10/2008,Female,Service,Yes,3,5,5.6,0.45
10/5/2008,Female,Service,No,3,7,6.4,0.54
21/04/2008,Female,Service,Yes,1,2,1.9,0.07
5/7/2008,Female,Service,No,3,4,4.9,0.45
21/05/2008,Male,Service,Yes,2,6,8.1,0.6
8/3/2008,Female,Product,Yes,1,1,2.5,0.07
21/07/2008,Male,Service,Yes,2,5,5.5,0.36
24/03/2008,Male,Service,No,2,6,7.2,0.55
2/8/2008,Female,Product,No,2,4,5.1,0.45
8/6/2008,Female,Product,Yes,5,10,9.4,0.8
22/07/2008,Female,Service,No,1,3,6,0.39
17/04/2008,Female,Product,Yes,3,5,5.5,0.41
30/11/2008,Female,Service,Yes,1,2,6.1,0.43
21/06/2008,Female,Service,Yes,2,3,7.1,0.5
22/09/2008,Male,Service,Yes,3,4,4.5,0.33
2/1/2008,Male,Service,Yes,2,4,5.2,0.39
3/2/2008,Male,Product,No,4,8,7.5,0.69
11/8/2008,Male,Service,Yes,1,1,5.9,0.07
5/2/2008,Female,Product,No,2,4,8.2,0.66
20/12/2008,Female,Product,No,2,4,4.7,0.29
22/11/2008,Male,Product,Yes,3,6,8.4,0.66
20/04/2008,Female,Service,Yes,2,4,5.9,0.43
3/11/2008,Male,Service,Yes,2,5,6.4,0.63
16/10/2008,Female,Service,No,5,9,7.8,0.78
28/09/2008,Male,Service,No,1,3,5.3,0.35
20/07/2008,Male,Service,No,3,6,7.7,0.58
12/9/2008,Female,Service,No,3,7,7.4,0.74
15/12/2008,Male,Service,No,3,7,8.9,0.72
18/03/2008,Male,Service,No,0,1,1.1,0.03
3/7/2008,Female,Product,Yes,3,5,5.3,0.39
1/2/2008,Male,Product,Yes,1,4,3.2,0.27
29/01/2008,Male,Service,No,4,7,7,0.7
11/5/2008,Female,Service,No,3,8,9.4,0.87
30/06/2008,Male,Service,Yes,2,3,3.5,0.17
24/12/2008,Male,Product,Yes,4,7,8.1,0.78
2/7/2008,Male,Service,No,2,4,6,0.41
24/08/2008,Male,Product,No,1,2,5.8,0.5
26/01/2008,Female,Service,Yes,1,3,5.4,0.45
10/7/2008,Male,Service,No,1,4,5.8,0.56
22/08/2008,Female,Product,No,3,5,5.9,0.47
3/10/2008,Male,Product,Yes,3,7,7,0.59
25/01/2008,Male,Service,No,3,5,7.4,0.58
1/2/2008,Male,Service,No,3,4,5.9,0.56
29/01/2008,Female,Service,Yes,3,8,10,0.97
2/6/2008,Female,Service,Yes,2,5,5.9,0.5
1/2/2008,Female,Product,No,3,4,5.9,0.49
24/03/2008,Female,Service,No,1,2,4.3,0.36
2/2/2008,Male,Service,No,2,4,5.4,0.33
11/9/2008,Female,Service,Yes,1,3,4.5,0.31
3/3/2008,Male,Service,No,2,5,7.4,0.57
4/4/2008,Female,Product,Yes,2,4,5.9,0.23
2/7/2008,Male,Service,No,4,8,5.9,0.54
16/06/2008,Male,Service,Yes,0,1,1.7,0.02
23/08/2008,Male,Service,No,3,6,8.6,0.67
27/07/2008,Male,Product,No,3,6,8.8,0.73
31/12/2008,Female,Product,No,1,3,5.1,0.36
23/12/2008,Female,Service,Yes,2,3,6,0.36
23/11/2008,Female,Service,No,2,3,4.2,0.31
11/7/2008,Female,Service,No,3,7,10,0.89
11/9/2008,Male,Service,Yes,3,6,7.6,0.56
28/07/2008,Male,Product,Yes,1,3,6,0.44
4/11/2008,Male,Product,No,3,5,4.7,0.37
25/04/2008,Male,Service,Yes,3,6,6.5,0.57
23/05/2008,Female,Service,No,2,4,5.9,0.34
14/08/2008,Male,Service,Yes,4,6,7.2,0.55
3/3/2008,Male,Service,Yes,1,2,5.3,0.33
2/8/2008,Male,Product,Yes,1,3,5,0.35
26/09/2008,Male,Product,Yes,0,1,0,0
6/11/2008,Female,Service,Yes,1,2,3.9,0.32
28/11/2008,Male,Product,No,2,6,6.4,0.55
25/10/2008,Female,Service,Yes,2,5,6.2,0.49
11/10/2008,Female,Service,Yes,3,6,6.5,0.45
2/1/2008,Male,Service,No,2,6,7.1,0.63
1/5/2008,Male,Service,Yes,1,4,5,0.44
8/5/2008,Male,Service,Yes,0,1,2.1,0.09
21/05/2008,Female,Product,No,2,3,5.9,0.45
16/10/2008,Female,Service,Yes,1,4,5.6,0.32
14/03/2008,Female,Product,Yes,0,1,3.7,0.2
15/03/2008,Female,Service,Yes,3,7,8,0.62
4/7/2008,Female,Service,Yes,3,5,6.9,0.5
25/11/2008,Female,Service,Yes,1,3,4.4,0.23
19/12/2008,Female,Service,No,2,5,6.8,0.52
8/2/2008,Female,Product,No,4,6,5.7,0.51
1/1/2008,Male,Service,Yes,3,6,7.1,0.7
18/06/2008,Female,Service,No,2,5,5,0.3
17/06/2008,Male,Product,Yes,2,5,5.9,0.68
25/10/2008,Female,Product,Yes,2,3,2.5,0.18
12/8/2008,Male,Product,No,4,8,7.5,0.77
11/4/2008,Male,Product,Yes,1,4,4.1,0.33
8/7/2008,Female,Product,Yes,2,3,4.4,0.21
6/2/2008,Male,Service,No,3,6,6.4,0.61
7/2/2008,Male,Service,Yes,3,4,4.4,0.39
30/06/2008,Male,Service,No,4,7,8,0.69
18/07/2008,Female,Service,Yes,1,2,4.6,0.38
11/7/2008,Male,Service,No,3,6,6.8,0.54
21/08/2008,Male,Service,No,0,1,2.5,0.2
29/05/2008,Male,Service,No,3,5,5.1,0.39
29/03/2008,Male,Product,No,2,4,6.6,0.62
11/4/2008,Male,Service,Yes,1,2,4.2,0.31
22/02/2008,Female,Service,No,2,4,8.4,0.69
23/07/2008,Female,Service,Yes,3,5,6.1,0.46
9/7/2008,Male,Service,Yes,5,9,9.3,0.79
17/04/2008,Female,Service,Yes,3,4,6,0.44
20/09/2008,Female,Service,Yes,0,2,3.9,0.26
1/12/2008,Female,Product,Yes,0,1,4.7,0.26
25/10/2008,Female,Service,Yes,2,2,4.5,0.21
18/03/2008,Male,Product,No,1,4,5,0.4
6/10/2008,Female,Service,Yes,1,2,3.8,0.17
28/10/2008,Male,Service,Yes,2,4,5.9,0.27
31/01/2008,Male,Service,Yes,2,5,5.1,0.47
23/03/2008,Female,Service,Yes,3,6,5.2,0.47
29/01/2008,Female,Service,No,3,6,7.6,0.62
2/12/2008,Male,Service,Yes,4,8,7.1,0.56
20/01/2008,Female,Service,No,4,9,7.3,0.74
12/10/2008,Female,Service,Yes,3,4,5.7,0.45
17/06/2008,Male,Service,No,5,8,8,0.83
17/03/2008,Female,Product,Yes,2,3,6.3,0.43
4/3/2008,Male,Product,No,2,6,8.3,0.67
5/1/2008,Male,Product,Yes,3,7,5.9,0.6
19/05/2008,Male,Product,No,2,5,6.8,0.52
30/07/2008,Female,Service,No,3,5,5.3,0.31
28/06/2008,Male,Service,Yes,2,3,6.3,0.41
28/07/2008,Female,Product,No,2,4,5.5,0.43
11/12/2008,Male,Service,No,4,7,8.1,0.65
6/12/2008,Female,Product,Yes,1,2,0,0
11/8/2008,Male,Product,Yes,2,4,5.2,0.28
27/10/2008,Male,Product,No,4,7,8.2,0.75
14/09/2008,Female,Service,Yes,3,4,4.7,0.41
19/02/2008,Female,Product,Yes,2,4,5.4,0.42
4/3/2008,Female,Product,Yes,3,4,6.9,0.59
11/11/2008,Female,Service,Yes,1,2,5.9,0.25
27/04/2008,Female,Product,No,3,7,9.1,0.9
5/11/2008,Male,Product,No,2,4,5.9,0.41
25/02/2008,Male,Product,Yes,2,3,5.9,0.21
16/01/2008,Female,Service,Yes,3,5,5.8,0.42
3/10/2008,Female,Service,Yes,1,3,4.3,0.32
17/07/2008,Male,Service,Yes,1,3,5.1,0.4
7/3/2008,Female,Product,No,2,3,5.2,0.43
14/12/2008,Male,Service,No,3,6,7.6,0.67
16/04/2008,Male,Product,No,4,9,10,0.92
10/7/2008,Female,Product,Yes,1,2,4.6,0.36
6/11/2008,Female,Product,Yes,3,4,5.9,0.38
22/09/2008,Male,Service,No,2,6,7.6,0.68
26/10/2008,Female,Product,Yes,2,3,4,0.29
20/11/2008,Male,Service,Yes,0,1,4.6,0.28
8/3/2008,Male,Product,Yes,2,4,6,0.38
16/07/2008,Male,Product,No,4,7,8.8,0.74
25/12/2008,Female,Service,Yes,3,5,5.2,0.37
20/09/2008,Male,Service,Yes,2,4,3.9,0.31
13/04/2008,Female,Service,Yes,2,3,4.9,0.32
17/09/2008,Male,Service,No,3,7,9.7,0.81
13/07/2008,Male,Service,Yes,3,7,8.5,0.78
5/11/2008,Female,Product,Yes,1,1,2.4,0.17
11/3/2008,Male,Service,No,4,6,7,0.51
9/12/2008,Female,Product,No,0,1,3.5,0.19
17/01/2008,Male,Product,Yes,4,8,5.8,0.53
10/7/2008,Female,Product,No,0,1,4.4,0.24
28/12/2008,Male,Service,Yes,1,2,2.2,0.14
5/1/2008,Male,Service,Yes,2,4,6.6,0.44
14/12/2008,Male,Service,No,2,5,6.2,0.52
24/07/2008,Female,Service,No,2,4,6.1,0.39
4/6/2008,Female,Service,Yes,1,3,5.3,0.35
25/09/2008,Male,Service,No,3,8,8,0.7
6/2/2008,Male,Service,Yes,2,4,6.7,0.58
15/08/2008,Male,Service,Yes,3,6,6,0.52
8/4/2008,Male,Service,Yes,0,1,3.6,0.16
4/8/2008,Male,Product,Yes,1,3,3.4,0.16
29/01/2008,Male,Service,No,1,3,5.6,0.42
28/08/2008,Female,Product,Yes,0,1,3,0.23
31/07/2008,Male,Product,Yes,3,5,7.9,0.61
21/01/2008,Female,Service,No,2,4,5.8,0.43
4/11/2008,Female,Service,Yes,2,4,5.7,0.37
28/03/2008,Male,Product,No,4,8,7,0.71
1/12/2008,Female,Service,No,2,5,5.7,0.43
19/11/2008,Female,Service,Yes,3,7,6.3,0.54
10/3/2008,Male,Service,No,4,7,7.2,0.71
21/02/2008,Female,Service,No,2,4,8.1,0.66
10/5/2008,Female,Product,Yes,1,3,6.3,0.49
16/05/2008,Male,Service,Yes,1,3,4.5,0.36
28/12/2008,Male,Service,Yes,2,5,4.4,0.38
11/9/2008,Female,Service,No,1,1,3.2,0.25
16/02/2008,Male,Service,Yes,1,3,4.6,0.36
7/4/2008,Male,Service,Yes,0,1,1.5,0.1
21/07/2008,Female,Product,Yes,1,2,5.9,0.19
22/01/2008,Female,Service,No,4,7,7.2,0.72
4/8/2008,Male,Service,Yes,1,3,4.1,0.28
18/08/2008,Female,Service,Yes,4,7,6.8,0.67
5/7/2008,Male,Service,No,4,8,5.8,0.54
4/7/2008,Female,Product,No,3,6,5.9,0.52
20/11/2008,Female,Service,Yes,1,3,4,0.19
16/07/2008,Female,Service,Yes,0,1,3.1,0.24
19/02/2008,Female,Product,Yes,1,2,5,0.39
2/11/2008,Male,Product,No,3,6,6.9,0.54
5/12/2008,Female,Service,Yes,3,4,5.4,0.48
14/11/2008,Female,Service,Yes,2,2,4.5,0.26
14/12/2008,Male,Service,No,3,7,8,0.63
10/5/2008,Male,Product,Yes,3,6,5.2,0.34
31/08/2008,Female,Service,No,1,1,2.1,0.15
7/10/2008,Female,Product,Yes,2,4,5.9,0.47
18/06/2008,Female,Service,Yes,1,2,2.6,0.19
8/8/2008,Male,Service,No,1,3,4.9,0.27
30/08/2008,Female,Service,No,2,4,3.4,0.25
10/10/2008,Female,Product,Yes,3,6,6,0.39
23/03/2008,Female,Service,No,3,6,7.6,0.67
2/4/2008,Female,Service,Yes,2,2,4.8,0.26
21/03/2008,Female,Product,Yes,2,5,6.5,0.52
8/8/2008,Female,Product,Yes,0,1,3.9,0.21
9/3/2008,Female,Product,Yes,1,1,2.4,0.09
4/3/2008,Male,Service,No,4,8,7.3,0.56
28/09/2008,Female,Product,No,3,4,5.2,0.27
6/2/2008,Male,Service,Yes,3,7,7.3,0.56
9/12/2008,Male,Service,No,3,6,6.9,0.58
29/10/2008,Female,Service,Yes,2,4,4.4,0.3
12/1/2008,Male,Service,Yes,5,9,8.2,0.85
17/11/2008,Female,Service,No,3,6,5.9,0.55
14/04/2008,Male,Service,No,4,8,8.2,0.63
25/05/2008,Female,Service,No,4,7,6.6,0.59
11/8/2008,Female,Product,Yes,3,6,4.2,0.35
11/10/2008,Male,Service,No,2,3,4,0.26
16/07/2008,Female,Service,Yes,1,3,3.6,0.2
16/01/2008,Female,Service,No,2,6,7.7,0.75
18/01/2008,Female,Product,No,2,6,5.9,0.54
3/9/2008,Female,Service,No,4,8,8.4,0.76
18/12/2008,Male,Service,Yes,3,4,6.3,0.47
24/11/2008,Male,Product,Yes,2,4,4.1,0.33
10/8/2008,Male,Service,No,2,5,7.1,0.53
16/02/2008,Male,Service,Yes,1,2,3.7,0.18
1/9/2008,Male,Service,Yes,4,8,8.5,0.69
19/12/2008,Female,Product,No,1,4,7,0.51
8/6/2008,Female,Service,No,3,5,5.9,0.34
18/10/2008,Female,Service,No,1,2,2.5,0.18
6/11/2008,Male,Service,Yes,1,4,5.8,0.53
7/5/2008,Male,Service,Yes,1,3,5.9,0.2
30/11/2008,Male,Product,Yes,1,2,4.9,0.33
19/07/2008,Male,Service,No,3,6,7.3,0.56
5/11/2008,Female,Service,No,0,1,4.4,0.28
11/6/2008,Male,Service,Yes,4,8,8.2,0.83
2/3/2008,Male,Service,No,3,6,6.7,0.64
13/09/2008,Female,Service,No,1,1,5.9,0.24
16/12/2008,Male,Service,No,1,1,4.5,0.24
27/03/2008,Female,Service,Yes,0,4,4.6,0.29
21/01/2008,Female,Product,Yes,2,4,6,0.41
19/02/2008,Male,Product,Yes,2,6,7.8,0.67
4/3/2008,Female,Service,Yes,2,5,6.7,0.52
8/3/2008,Male,Service,Yes,3,5,6.4,0.56
25/03/2008,Female,Service,No,2,4,7.3,0.55
14/11/2008,Female,Service,Yes,5,10,5.9,0.8
15/12/2008,Female,Service,No,4,8,7,0.66
1/5/2008,Female,Service,No,3,7,6.9,0.54
30/07/2008,Male,Product,Yes,2,3,5.7,0.38
4/2/2008,Male,Service,Yes,3,7,7.2,0.51
24/02/2008,Female,Service,Yes,4,8,8.1,0.74
14/11/2008,Male,Product,No,2,5,6,0.52
26/12/2008,Male,Service,No,3,7,8.9,0.87
30/03/2008,Male,Service,No,0,1,5.9,0.08
20/12/2008,Male,Product,No,2,4,5.9,0.39
21/01/2008,Male,Product,Yes,1,3,4.1,0.29
10/7/2008,Female,Service,Yes,4,9,8.8,0.77
9/5/2008,Male,Service,Yes,3,4,6.7,0.45
6/8/2008,Female,Service,Yes,2,3,5.8,0.46
24/03/2008,Female,Product,No,1,5,5.7,0.52
6/9/2008,Male,Service,No,3,6,5.9,0.54
5/9/2008,Male,Service,Yes,1,2,3.7,0.26
6/10/2008,Female,Service,Yes,0,1,3.9,0.2
18/02/2008,Male,Product,No,3,5,6.8,0.68
28/06/2008,Male,Product,No,3,5,6.9,0.58
30/01/2008,Female,Product,Yes,3,5,5.5,0.44
5/7/2008,Female,Product,No,2,4,7.3,0.54
14/08/2008,Female,Service,Yes,2,4,5.9,0.25
19/01/2008,Female,Service,Yes,1,3,4.5,0.27
3/4/2008,Male,Service,Yes,2,3,3.1,0.23
8/4/2008,Male,Product,Yes,1,2,1.6,0.05
25/10/2008,Male,Product,No,1,3,4.3,0.21
11/10/2008,Male,Product,Yes,1,1,2.9,0.14
2/3/2008,Male,Service,Yes,2,4,6.4,0.48
25/01/2008,Male,Service,Yes,2,3,6.7,0.43
3/2/2008,Female,Service,Yes,3,5,5.8,0.34
10/5/2008,Female,Product,No,3,4,6.7,0.5
2/1/2008,Male,Service,Yes,2,4,5.2,0.45
1/5/2008,Male,Service,No,2,4,8.1,0.68
24/10/2008,Male,Product,Yes,1,4,5.6,0.48
6/9/2008,Male,Product,Yes,2,5,6.6,0.52
7/7/2008,Male,Product,Yes,1,3,2.6,0.2
2/2/2008,Female,Product,Yes,3,4,6.1,0.4
15/01/2008,Male,Service,No,2,3,6.3,0.48
21/12/2008,Female,Service,Yes,3,7,8.8,0.7
16/04/2008,Male,Product,Yes,3,6,8.1,0.6
17/03/2008,Female,Service,Yes,1,4,1.9,0.05
3/2/2008,Male,Product,Yes,1,2,2.1,0.14
30/01/2008,Male,Service,No,2,4,6.6,0.63
12/5/2008,Female,Service,Yes,2,3,5,0.27
4/2/2008,Male,Service,Yes,2,6,7.4,0.57
5/11/2008,Female,Service,Yes,3,7,7.7,0.57
6/12/2008,Male,Service,Yes,1,1,2.6,0.12
22/08/2008,Male,Service,Yes,1,1,2.8,0.23
9/1/2008,Male,Service,Yes,5,10,9.1,0.93
9/2/2008,Male,Service,No,4,7,7,0.65
6/1/2008,Male,Service,No,2,4,7.9,0.66
12/10/2008,Female,Service,Yes,3,6,7.7,0.58
30/05/2008,Female,Product,Yes,3,8,5.9,0.74
3/3/2008,Male,Service,No,3,6,8.1,0.73
2/4/2008,Female,Product,No,4,9,9.8,1
12/8/2008,Male,Service,No,2,5,3.9,0.3
28/01/2008,Female,Service,Yes,1,4,4.4,0.32
5/3/2008,Male,Product,Yes,2,5,6.2,0.5
19/10/2008,Male,Service,No,0,1,1,0.03
5/10/2008,Male,Product,No,2,4,6.1,0.49
3/9/2008,Male,Service,Yes,2,5,4.1,0.34
9/4/2008,Male,Product,No,1,2,2.8,0.15
8/2/2008,Male,Product,No,1,1,1.5,0.07
18/08/2008,Male,Product,No,1,3,5.7,0.35
19/06/2008,Male,Product,Yes,3,6,6.8,0.61
24/11/2008,Female,Product,Yes,2,4,5.3,0.33
13/03/2008,Female,Product,Yes,1,1,3.6,0.15
26/10/2008,Male,Product,Yes,1,2,5.5,0.35
27/03/2008,Male,Service,Yes,1,2,5.9,0.29
10/9/2008,Female,Service,No,3,5,5.5,0.48
7/9/2008,Male,Service,Yes,1,1,1.1,0.04
16/12/2008,Female,Service,No,3,5,4.9,0.43
16/10/2008,Female,Service,Yes,4,4,8.7,0.77
29/11/2008,Female,Product,No,1,1,1.7,0.13
25/07/2008,Male,Service,Yes,2,3,5.9,0.48
31/12/2008,Female,Product,No,3,7,5.9,0.57
22/12/2008,Male,Product,No,4,7,6.6,0.51
10/10/2008,Male,Service,No,4,6,7.5,0.64
7/3/2008,Male,Service,Yes,2,4,5,0.41
25/11/2008,Male,Service,Yes,4,7,7.6,0.75
